images_252 : Stage: [1/5], Iter: [1/1], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +12.9453, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [2/5], Iter: [1/1], ftr_loss : +4.8412, nll : +0.0374, mse_loss : +0.0671, l1_loss : +0.1865, perceptual_edge_loss : +13.0644, psnr : +10.7200, ssim : +0.4293
images_252 : Stage: [3/5], Iter: [1/1], ftr_loss : +4.7136, nll : +0.0373, mse_loss : +0.0616, l1_loss : +0.1826, perceptual_edge_loss : +12.4416, psnr : +11.6177, ssim : +0.4091
images_252 : Stage: [4/5], Iter: [1/1], ftr_loss : +4.5424, nll : +0.0373, mse_loss : +0.0536, l1_loss : +0.1646, perceptual_edge_loss : +12.4738, psnr : +12.2495, ssim : +0.4191
images_252 : Stage: [5/5], Iter: [1/1], ftr_loss : +4.5087, nll : +0.0373, mse_loss : +0.0592, l1_loss : +0.1752, perceptual_edge_loss : +12.1795, psnr : +11.8798, ssim : +0.4047
images_291 : Stage: [1/5], Iter: [1/1], ftr_loss : +3.5791, nll : +0.0443, mse_loss : +0.0679, l1_loss : +0.1820, perceptual_edge_loss : +8.1985, psnr : +10.4009, ssim : +0.4667
images_291 : Stage: [2/5], Iter: [1/1], ftr_loss : +3.0783, nll : +0.0443, mse_loss : +0.0242, l1_loss : +0.0976, perceptual_edge_loss : +8.6278, psnr : +14.4417, ssim : +0.5994
images_291 : Stage: [3/5], Iter: [1/1], ftr_loss : +2.9203, nll : +0.0443, mse_loss : +0.0284, l1_loss : +0.0983, perceptual_edge_loss : +8.3184, psnr : +13.9469, ssim : +0.5643
images_291 : Stage: [4/5], Iter: [1/1], ftr_loss : +2.7457, nll : +0.0443, mse_loss : +0.0221, l1_loss : +0.0847, perceptual_edge_loss : +8.5816, psnr : +14.7775, ssim : +0.5683
images_291 : Stage: [5/5], Iter: [1/1], ftr_loss : +2.6490, nll : +0.0443, mse_loss : +0.0211, l1_loss : +0.0834, perceptual_edge_loss : +8.5422, psnr : +14.9370, ssim : +0.5790
images_299 : Stage: [1/5], Iter: [1/1], ftr_loss : +4.8401, nll : +0.0375, mse_loss : +0.1026, l1_loss : +0.2488, perceptual_edge_loss : +14.8106, psnr : +9.5290, ssim : +0.1383
images_299 : Stage: [2/5], Iter: [1/1], ftr_loss : +4.7835, nll : +0.0375, mse_loss : +0.1272, l1_loss : +0.2701, perceptual_edge_loss : +14.4454, psnr : +8.4611, ssim : +0.2417
images_299 : Stage: [3/5], Iter: [1/1], ftr_loss : +4.6906, nll : +0.0375, mse_loss : +0.0716, l1_loss : +0.2154, perceptual_edge_loss : +14.8047, psnr : +11.1424, ssim : +0.2006
images_299 : Stage: [4/5], Iter: [1/1], ftr_loss : +4.5286, nll : +0.0375, mse_loss : +0.0625, l1_loss : +0.1985, perceptual_edge_loss : +14.5034, psnr : +11.7242, ssim : +0.1999
images_299 : Stage: [5/5], Iter: [1/1], ftr_loss : +4.3649, nll : +0.0375, mse_loss : +0.0545, l1_loss : +0.1788, perceptual_edge_loss : +14.3263, psnr : +12.3001, ssim : +0.2007
images_252 : Stage: [1/5], Iter: [1/1], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +12.9453, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [1/5], Iter: [1/1], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +12.9453, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [2/5], Iter: [1/1], ftr_loss : +4.8412, nll : +0.0374, mse_loss : +0.0671, l1_loss : +0.1865, perceptual_edge_loss : +13.0644, psnr : +10.7200, ssim : +0.4293
images_252 : Stage: [3/5], Iter: [1/1], ftr_loss : +4.7136, nll : +0.0373, mse_loss : +0.0616, l1_loss : +0.1826, perceptual_edge_loss : +12.4423, psnr : +11.6177, ssim : +0.4091
images_252 : Stage: [4/5], Iter: [1/1], ftr_loss : +4.5423, nll : +0.0373, mse_loss : +0.0536, l1_loss : +0.1646, perceptual_edge_loss : +12.4763, psnr : +12.2493, ssim : +0.4191
images_252 : Stage: [5/5], Iter: [1/1], ftr_loss : +4.5078, nll : +0.0373, mse_loss : +0.0591, l1_loss : +0.1750, perceptual_edge_loss : +12.1814, psnr : +11.8888, ssim : +0.4046
images_291 : Stage: [1/5], Iter: [1/1], ftr_loss : +3.5791, nll : +0.0443, mse_loss : +0.0679, l1_loss : +0.1820, perceptual_edge_loss : +8.1985, psnr : +10.4009, ssim : +0.4667
images_291 : Stage: [2/5], Iter: [1/1], ftr_loss : +3.0796, nll : +0.0443, mse_loss : +0.0242, l1_loss : +0.0977, perceptual_edge_loss : +8.6221, psnr : +14.4384, ssim : +0.5994
images_291 : Stage: [3/5], Iter: [1/1], ftr_loss : +2.9177, nll : +0.0443, mse_loss : +0.0283, l1_loss : +0.0983, perceptual_edge_loss : +8.3461, psnr : +13.9482, ssim : +0.5644
images_291 : Stage: [4/5], Iter: [1/1], ftr_loss : +2.7447, nll : +0.0443, mse_loss : +0.0221, l1_loss : +0.0847, perceptual_edge_loss : +8.5632, psnr : +14.7772, ssim : +0.5683
images_291 : Stage: [5/5], Iter: [1/1], ftr_loss : +2.6557, nll : +0.0443, mse_loss : +0.0209, l1_loss : +0.0829, perceptual_edge_loss : +8.5224, psnr : +14.9429, ssim : +0.5790
images_252 : Stage: [1/5], Iter: [1/2], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +12.9453, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [1/5], Iter: [1/2], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +12.9453, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [1/5], Iter: [1/2], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +12.9453, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [2/5], Iter: [1/2], ftr_loss : +4.7154, nll : +0.0373, mse_loss : +0.0618, l1_loss : +0.1830, perceptual_edge_loss : +12.4335, psnr : +11.6055, ssim : +0.4088
images_252 : Stage: [3/5], Iter: [1/2], ftr_loss : +4.7545, nll : +0.0373, mse_loss : +0.0716, l1_loss : +0.1967, perceptual_edge_loss : +12.5500, psnr : +10.9178, ssim : +0.3602
images_252 : Stage: [4/5], Iter: [1/2], ftr_loss : +4.0882, nll : +0.0373, mse_loss : +0.0440, l1_loss : +0.1472, perceptual_edge_loss : +12.1216, psnr : +12.9902, ssim : +0.3889
images_252 : Stage: [5/5], Iter: [1/2], ftr_loss : +3.7928, nll : +0.0373, mse_loss : +0.0390, l1_loss : +0.1359, perceptual_edge_loss : +11.7414, psnr : +13.5194, ssim : +0.3764
images_291 : Stage: [1/5], Iter: [1/2], ftr_loss : +3.5791, nll : +0.0443, mse_loss : +0.0679, l1_loss : +0.1820, perceptual_edge_loss : +8.1985, psnr : +10.4009, ssim : +0.4667
images_291 : Stage: [2/5], Iter: [1/2], ftr_loss : +2.9649, nll : +0.0443, mse_loss : +0.0262, l1_loss : +0.1002, perceptual_edge_loss : +9.1482, psnr : +14.2341, ssim : +0.5818
images_291 : Stage: [3/5], Iter: [1/2], ftr_loss : +2.7114, nll : +0.0443, mse_loss : +0.0214, l1_loss : +0.0848, perceptual_edge_loss : +8.9753, psnr : +14.7515, ssim : +0.6090
images_291 : Stage: [4/5], Iter: [1/2], ftr_loss : +2.4941, nll : +0.0443, mse_loss : +0.0209, l1_loss : +0.0815, perceptual_edge_loss : +8.4766, psnr : +15.0498, ssim : +0.5924
images_291 : Stage: [5/5], Iter: [1/2], ftr_loss : +2.3720, nll : +0.0443, mse_loss : +0.0196, l1_loss : +0.0780, perceptual_edge_loss : +8.4272, psnr : +15.1532, ssim : +0.5857
images_299 : Stage: [1/5], Iter: [1/2], ftr_loss : +4.8401, nll : +0.0375, mse_loss : +0.1026, l1_loss : +0.2488, perceptual_edge_loss : +14.8106, psnr : +9.5290, ssim : +0.1383
images_299 : Stage: [2/5], Iter: [1/2], ftr_loss : +4.7160, nll : +0.0375, mse_loss : +0.0675, l1_loss : +0.2089, perceptual_edge_loss : +14.8096, psnr : +11.4132, ssim : +0.2000
images_299 : Stage: [3/5], Iter: [1/2], ftr_loss : +4.2789, nll : +0.0375, mse_loss : +0.0580, l1_loss : +0.1784, perceptual_edge_loss : +14.7447, psnr : +11.9668, ssim : +0.1399
images_299 : Stage: [4/5], Iter: [1/2], ftr_loss : +4.1562, nll : +0.0375, mse_loss : +0.0544, l1_loss : +0.1681, perceptual_edge_loss : +14.4062, psnr : +12.2452, ssim : +0.1793
images_299 : Stage: [5/5], Iter: [1/2], ftr_loss : +4.0549, nll : +0.0375, mse_loss : +0.0552, l1_loss : +0.1687, perceptual_edge_loss : +14.3303, psnr : +12.1615, ssim : +0.1747
