images_60 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.2353, nll : +0.0491, mse_loss : +0.0739, l1_loss : +0.2149, perceptual_edge_loss : +0.0000, psnr : +10.5959, ssim : +0.4843
images_60 : Stage: [1/5], Iter: [100/200], ftr_loss : +0.9782, nll : +0.0482, mse_loss : +0.0054, l1_loss : +0.0357, perceptual_edge_loss : +0.0000, psnr : +21.8111, ssim : +0.7880
images_60 : Stage: [1/5], Iter: [200/200], ftr_loss : +0.6703, nll : +0.0475, mse_loss : +0.0033, l1_loss : +0.0279, perceptual_edge_loss : +0.0000, psnr : +23.2600, ssim : +0.8313
images_60 : Stage: [2/5], Iter: [1/200], ftr_loss : +0.6747, nll : +0.0474, mse_loss : +0.0036, l1_loss : +0.0281, perceptual_edge_loss : +0.0000, psnr : +23.0310, ssim : +0.8292
images_60 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.5240, nll : +0.0471, mse_loss : +0.0028, l1_loss : +0.0252, perceptual_edge_loss : +0.0000, psnr : +23.4914, ssim : +0.8511
images_60 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.4152, nll : +0.0467, mse_loss : +0.0024, l1_loss : +0.0239, perceptual_edge_loss : +0.0000, psnr : +24.2115, ssim : +0.8625
images_60 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.4254, nll : +0.0467, mse_loss : +0.0023, l1_loss : +0.0235, perceptual_edge_loss : +0.8334, psnr : +24.3903, ssim : +0.8594
images_60 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.2683, nll : +0.0467, mse_loss : +0.0020, l1_loss : +0.0200, perceptual_edge_loss : +0.8225, psnr : +24.7928, ssim : +0.8681
images_60 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.2662, nll : +0.0467, mse_loss : +0.0019, l1_loss : +0.0198, perceptual_edge_loss : +0.8125, psnr : +24.8058, ssim : +0.8709
images_60 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.2664, nll : +0.0467, mse_loss : +0.0019, l1_loss : +0.0199, perceptual_edge_loss : +0.0817, psnr : +24.6226, ssim : +0.8711
images_60 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.2591, nll : +0.0467, mse_loss : +0.0019, l1_loss : +0.0198, perceptual_edge_loss : +0.0805, psnr : +24.7671, ssim : +0.8719
images_60 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.2448, nll : +0.0467, mse_loss : +0.0018, l1_loss : +0.0187, perceptual_edge_loss : +0.0781, psnr : +24.9966, ssim : +0.8786
images_60 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.2341, nll : +0.0467, mse_loss : +0.0018, l1_loss : +0.0193, perceptual_edge_loss : +0.0076, psnr : +24.8413, ssim : +0.8738
images_60 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.1748, nll : +0.0467, mse_loss : +0.0015, l1_loss : +0.0173, perceptual_edge_loss : +0.0075, psnr : +25.2771, ssim : +0.8843
images_60 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.1724, nll : +0.0467, mse_loss : +0.0015, l1_loss : +0.0170, perceptual_edge_loss : +0.0074, psnr : +25.3995, ssim : +0.8875
images_61 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.7428, nll : +0.0433, mse_loss : +0.1425, l1_loss : +0.2964, perceptual_edge_loss : +0.0000, psnr : +7.8566, ssim : +0.3153
images_61 : Stage: [1/5], Iter: [100/200], ftr_loss : +2.6985, nll : +0.0409, mse_loss : +0.0433, l1_loss : +0.1256, perceptual_edge_loss : +0.0000, psnr : +12.7862, ssim : +0.5101
images_61 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.4537, nll : +0.0395, mse_loss : +0.0177, l1_loss : +0.0617, perceptual_edge_loss : +0.0000, psnr : +16.0243, ssim : +0.6456
images_61 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.3884, nll : +0.0395, mse_loss : +0.0169, l1_loss : +0.0620, perceptual_edge_loss : +0.0000, psnr : +16.3516, ssim : +0.6486
images_61 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.9926, nll : +0.0390, mse_loss : +0.0107, l1_loss : +0.0488, perceptual_edge_loss : +0.0000, psnr : +17.8621, ssim : +0.7191
images_61 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.7442, nll : +0.0385, mse_loss : +0.0080, l1_loss : +0.0416, perceptual_edge_loss : +0.0000, psnr : +19.2284, ssim : +0.7446
images_61 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.7306, nll : +0.0385, mse_loss : +0.0077, l1_loss : +0.0403, perceptual_edge_loss : +1.0914, psnr : +18.8866, ssim : +0.7515
images_61 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.5517, nll : +0.0385, mse_loss : +0.0066, l1_loss : +0.0347, perceptual_edge_loss : +1.0470, psnr : +19.7988, ssim : +0.7764
images_61 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.5052, nll : +0.0385, mse_loss : +0.0063, l1_loss : +0.0333, perceptual_edge_loss : +1.0114, psnr : +19.9187, ssim : +0.7831
images_61 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.5156, nll : +0.0385, mse_loss : +0.0060, l1_loss : +0.0325, perceptual_edge_loss : +0.1032, psnr : +20.0437, ssim : +0.7911
images_61 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.4843, nll : +0.0385, mse_loss : +0.0057, l1_loss : +0.0313, perceptual_edge_loss : +0.0989, psnr : +20.0898, ssim : +0.7983
images_61 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.4599, nll : +0.0385, mse_loss : +0.0055, l1_loss : +0.0318, perceptual_edge_loss : +0.1019, psnr : +20.4189, ssim : +0.8020
images_61 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.4719, nll : +0.0385, mse_loss : +0.0058, l1_loss : +0.0317, perceptual_edge_loss : +0.0098, psnr : +20.0137, ssim : +0.7977
images_61 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.4111, nll : +0.0385, mse_loss : +0.0042, l1_loss : +0.0275, perceptual_edge_loss : +0.0101, psnr : +20.9746, ssim : +0.8194
images_61 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.4037, nll : +0.0385, mse_loss : +0.0038, l1_loss : +0.0264, perceptual_edge_loss : +0.0101, psnr : +21.1952, ssim : +0.8253
images_62 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.0604, nll : +0.0458, mse_loss : +0.0517, l1_loss : +0.1642, perceptual_edge_loss : +0.0000, psnr : +12.6157, ssim : +0.3663
images_62 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.8121, nll : +0.0420, mse_loss : +0.0253, l1_loss : +0.0983, perceptual_edge_loss : +0.0000, psnr : +15.3066, ssim : +0.4103
images_62 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.4436, nll : +0.0402, mse_loss : +0.0230, l1_loss : +0.0884, perceptual_edge_loss : +0.0000, psnr : +15.6030, ssim : +0.4466
images_62 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.8118, nll : +0.0402, mse_loss : +0.0216, l1_loss : +0.0868, perceptual_edge_loss : +0.0000, psnr : +16.0920, ssim : +0.4554
images_62 : Stage: [2/5], Iter: [100/200], ftr_loss : +1.2218, nll : +0.0394, mse_loss : +0.0189, l1_loss : +0.0786, perceptual_edge_loss : +0.0000, psnr : +16.4496, ssim : +0.5141
images_62 : Stage: [2/5], Iter: [200/200], ftr_loss : +1.0402, nll : +0.0388, mse_loss : +0.0170, l1_loss : +0.0724, perceptual_edge_loss : +0.0000, psnr : +16.9090, ssim : +0.5389
